dt_venda,loja,uf,produto,canal_venda,tipo_venda,vlr_venda,qt_venda,qt_dias_com_estoque,qt_dias_sem_estoque,qt_dias_com_estoque_aberta,qt_dias_sem_estoque_aberta,qt_dias_loja_fechada,estoque_loja,habilitador
2023-01-05,ABC12684,SP,Produto Z,LOJA,PROMOCAO,202.17,1,28,0,27,0,1,4,1
2023-01-15,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,0,1
2023-01-18,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-02,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-15,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-01-02,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,4,1
2023-01-13,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-01-13,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,0,1
2023-02-04,ABC12684,SP,Produto X,LOJA,PROMOCAO,106.32,1,21,0,19,0,2,6,0
2023-01-24,ABC12684,SP,Produto Z,LOJA,PROMOCAO,260.0,0,21,0,19,0,2,1,1
2023-01-07,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,1,1
2023-01-14,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-11,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-01-11,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,3,1
2023-01-09,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-18,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,3,1
2023-01-21,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-02,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-02-10,ABC12684,SP,Produto X,LOJA,PROMOCAO,113.0,0,21,0,19,0,2,5,1
2023-01-10,ABC13387,SP,Produto X,LOJA,PROMOCAO,122.0,0,2,26,2,4,22,0,1
2023-01-30,ABC12684,SP,Produto X,LOJA,PROMOCAO,113.0,0,21,0,19,0,2,2,1
2023-01-12,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
